cod_ibge,nome,porcentagem_pop_urbana_2010,densidade_demografica_2010,area_km2
5107156,RESERVA DO CABAÇAL,63.1,1.92,1331.677
5107180,RIBEIRÃO CASCALHEIRA,62.7,0.78,11354.555
5107198,RIBEIRÃOZINHO,70.7,3.52,624.997
5107206,RIO BRANCO,81.8,9.01,539.287
5107248,SANTA CARMEM,75.4,1.06,3812.09
2100550,AMAPÁ DO MARANHÃO,75.3,12.8,502.402
2100600,AMARANTE DO MARANHÃO,39.6,5.1,7439.615
2100709,ANAJATUBA,27.7,25.01,940.489
2100808,ANAPURUS,51.4,22.91,608.903
2100832,APICUM-AÇU,61.2,42.36,341.12
2100873,ARAGUANÃ,38.5,17.35,805.194
2100907,ARAIOSES,28.3,23.84,1789.73
2100956,ARAME,39.6,10.54,2976.039
2101004,ARARI,61.4,25.89,1100.275
2922250,MUQUÉM DO SÃO FRANCISCO,12.5,2.82,3852.111
2202802,CONCEIÇÃO DO CANINDÉ,52.8,5.38,824.729
3139805,MAR DE ESPANHA,91.5,31.62,371.6
4309258,GUABIJU,46.18,10.77,146.925
1507466,SÃO JOÃO DA PONTA,19.58,26.87,195.918
1507474,SÃO JOÃO DE PIRABAS,50.79,29.25,668.434
1701051,ANGICO,61.04,7.03,447.549
1701101,APARECIDA DO RIO NEGRO,78.64,3.63,1159.034
1701309,ARAGOMINAS,37.91,5.01,1168.213
1701903,ARAGUACEMA,46.3,2.27,2774.505
1702000,ARAGUAÇU,66.95,1.7,5155.223
1702109,ARAGUAÍNA,94.98,37.62,4004.646
1702158,ARAGUANÃ,67.32,6.02,834.834
1702208,ARAGUATINS,64.27,11.93,2633.278
1702307,ARAPOEMA,80.91,4.34,1558.138
1702406,ARRAIAS,69.24,1.84,5803.085
1702554,AUGUSTINÓPOLIS,82.61,40.38,388.81
1702703,AURORA DO TOCANTINS,72.03,4.58,696.194
1702901,AXIXÁ DO TOCANTINS,82.17,61.75,153.539
1703008,BABAÇULÂNDIA,47.29,5.83,1790.297
1703057,BANDEIRANTES DO TOCANTINS,53.97,2.02,1540.541
1703073,BARRA DO OURO,53.02,3.73,1105.84
1703107,BARROLÂNDIA,83.74,7.5,697.759
1703206,BERNARDO SAYÃO,49.08,4.81,924.045
1703305,BOM JESUS DO TOCANTINS,75,2.83,1326.947
1703602,BRASILÂNDIA DO TOCANTINS,69.57,3.22,645.908
1703701,BREJINHO DE NAZARÉ,80.91,3.01,1722.59
1703800,BURITI DO TOCANTINS,76.31,38.77,252.73
1703826,CACHOEIRINHA,80.59,6.1,351.535
1703842,CAMPOS LINDOS,59.21,2.51,3234.445
1703867,CARIRI DO TOCANTINS,55.72,3.33,1126.291
1703883,CARMOLÂNDIA,78.76,6.82,339.366
1703891,CARRASCO BONITO,53.34,19.12,190.352
1703909,CASEARA,59.49,2.72,1680.014
1704105,CENTENÁRIO,58.61,1.31,1953.134
1704600,CHAPADA DE AREIA,56.1,2.03,658.564
1705102,CHAPADA DA NATIVIDADE,50.53,1.99,1640.833
1705508,COLINAS DO TOCANTINS,96.01,36.54,842.488
1705557,COMBINADO,85.67,22.27,208.791
1705607,CONCEIÇÃO DO TOCANTINS,69.61,1.67,2530.647
1706001,COUTO MAGALHÃES,37.61,3.16,1584.196
1706100,CRISTALÂNDIA,81.89,3.91,1850.75
1706258,CRIXÁS DO TOCANTINS,55.75,1.59,983.766
1706506,DARCINÓPOLIS,66.17,3.22,1641.77
1707009,DIANÓPOLIS,86.04,5.94,3318.094
1507508,SÃO JOÃO DO ARAGUAIA,19.66,10.28,1279.889
1507607,SÃO MIGUEL DO GUAMÁ,61.83,46.45,1094.564
1707108,DIVINÓPOLIS DO TOCANTINS,70.19,2.71,2358.282
