ano,vacina_id,cobertura,doses,regiao_cod_ibge
2015,12,108.05,380661,4
2015,12,106.02,223176,5
2015,13,83.53,234404,1
2015,13,96.78,765706,2
2015,13,107.68,1136010,3
2015,13,107.75,380833,4
2015,13,103.96,217511,5
2015,14,81.24,225412,1
2015,14,91.92,709080,2
2015,14,103.24,1065932,3
2015,14,102.08,357576,4
2015,14,97.92,205692,5
2015,15,95.86,275507,1
2015,15,99.77,824381,2
2015,15,109.96,1153413,3
2015,15,104.78,369715,4
2015,15,107.07,229540,5
2015,17,78.32,224023,1
2015,17,84.52,710083,2
2015,17,96.48,1015441,3
2015,17,82.72,309664,4
2015,17,89.44,193248,5
2015,18,91.29,259683,1
2015,18,98.17,773606,2
2015,18,108.43,1130388,3
2015,18,108.89,380010,4
2015,18,104.46,223408,5
2015,19,63.95,181288,1
2015,19,74.73,632404,2
2015,19,89.01,998033,3
2015,19,67.18,273457,4
2015,19,71.41,159988,5
2015,20,91.46,263318,1
2015,20,98.89,787945,2
2015,20,107.43,1123776,3
2015,20,103.95,377223,4
2015,20,102.57,218544,5
2015,21,81.55,223832,1
2015,21,89.63,707359,2
2015,21,99.54,1035352,3
2015,21,95.5,326555,4
2015,21,93.29,196238,5
2015,22,97.3,267532,1
2015,22,96.12,782230,2
2015,22,106.59,1146520,3
2015,22,104.22,371834,4
2015,22,101.18,219787,5
2015,23,70.93,196134,1
2015,23,82.57,659442,2
2015,23,94.1,997907,3
2015,23,82.55,296101,4
2015,23,82.33,170185,5
2016,1,75.44,295401,1
2016,1,73.84,785285,2
2016,1,90.04,1127974,3
2016,1,93.96,380322,4
2016,1,102.64,255011,5
2016,2,85.85,251208,1
2016,2,88.66,720183,2
2016,2,100.7,1084111,3
2016,2,102.37,364084,4
2016,2,111.86,244961,5
2016,3,32.35,90832,1
2016,3,31.41,302077,2
2016,3,39.77,382847,3
2016,3,33.76,118764,4
2016,3,47.15,111919,5
2016,4,2.89,17209,1
2016,4,2.56,45254,2
2016,4,2.8,53184,3
2016,4,2.75,18867,4
2016,4,3.45,15608,5
2016,5,32.5,88205,1
2016,5,35.17,326885,2
2016,5,36.47,324416,3
2016,5,29.03,90504,4
2016,5,48.67,108557,5
2016,6,79.08,232857,1
2016,6,27.3,257941,2
2016,6,43.72,345603,3
2016,6,85.18,220139,4
2016,6,103.53,230229,5
2016,7,74.14,209544,1
2016,7,73.89,583661,2
2016,7,84.26,833801,3
2016,7,88.39,302727,4
2016,7,90.99,200779,5
2016,8,95.6,295641,1
2016,8,96.8,799480,2
2016,8,119.12,1316244,3
2016,8,123.19,438576,4
2016,8,123.47,281023,5
2016,9,58.21,233240,1
2016,9,62.7,661003,2
2016,9,68.61,1010434,3
2016,9,62.43,305770,4
2016,9,91.85,222653,5
2016,10,90.05,262717,1
2016,10,91.16,738196,2
2016,10,102.29,1101025,3
2016,10,104.76,374146,4
2016,10,115.4,252615,5
2016,11,96.48,275150,1
2016,11,99,774227,2
2016,11,109.9,1081332,3
2016,11,112.6,394358,4
2016,11,123.44,268075,5
2016,12,85.84,251076,1
2016,12,88.57,717604,2
2016,12,100.6,1080139,3
2016,12,102.34,363412,4
2016,12,111.66,244772,5
2016,13,96.09,275348,1
2016,13,95.5,767121,2
2016,13,105.82,1146048,3
2016,13,106.12,382860,4
2016,13,116.32,256143,5
2016,14,80.76,230314,1
2016,14,84.34,676468,2
2016,14,95.32,1028352,3
2016,14,96.44,342913,4
2016,14,101.05,224578,5
2016,15,83.33,231940,1
2016,15,84.2,678853,2
2016,15,94.64,1020414,3
2016,15,97.56,346397,4
2016,15,107.42,235473,5
2016,17,68.52,184008,1
2016,17,77.24,573441,2
2016,17,91.28,922718,3
2016,17,106.36,329493,4
2016,17,93.26,202757,5
2016,18,86.84,249757,1
2016,18,90.16,714053,2
2016,18,100.84,1081564,3
2016,18,102.23,363164,4
2016,18,108.89,239834,5
2016,19,81.73,233037,1
2016,19,71.5,551023,2
2016,19,87.19,969834,3
2016,19,102.73,365254,4
2016,19,106.11,233383,5
2016,20,8.76,16889,1
2016,20,7.54,49356,2
2016,20,6.92,52100,3
2016,20,8.01,18179,4
2016,20,8.83,15350,5
2016,21,71.05,177408,1
2016,21,75.03,556355,2
2016,21,75.43,741862,3
2016,21,81.06,252729,4
2016,21,90.6,184777,5
2016,22,90.07,259166,1
2016,22,97.21,809170,2
2016,22,111.26,1159476,3
2016,22,103.91,368251,4
2016,22,110.62,243603,5
2016,23,81.65,232536,1
2016,23,66.95,523887,2
2016,23,84.85,934796,3
2016,23,102.77,361061,4
2016,23,105.77,230889,5
2017,1,104.06,296343,1
2017,1,84.34,809009,2
2017,1,95.23,1205722,3
2017,1,97.24,365444,4
2017,1,95.29,238885,5
2017,3,43.02,111958,1
2017,3,37.47,347580,2
2017,3,49.68,513077,3
2017,3,54.12,177785,4
2017,3,41.07,108111,5
2017,4,60.51,176841,1
2017,4,62,523484,2
2017,4,73.53,736319,3
2017,4,78.55,268407,4
2017,4,67.47,151543,5
2017,5,33.68,96695,1
2017,5,37.16,331528,2
2017,5,40.74,386687,3
2017,5,44.17,127771,4
2017,5,33.48,86282,5
2017,6,93.65,220739,1
2017,6,26.23,262819,2
2017,6,69.96,465061,3
2017,6,77.99,216124,4
2017,6,84.04,192816,5
2017,7,89.7,228019,1
2017,7,85.68,650015,2
2017,7,91.66,947227,3
2017,7,93.82,327814,4
2017,7,86.1,196210,5
2017,8,98.41,233617,1
2017,8,88.21,678611,2
2017,8,96.16,1046845,3
2017,8,99.97,347524,4
2017,8,92.34,205406,5
2017,9,84.52,264076,1
2017,9,73.48,716210,2
2017,9,74.38,1059439,3
2017,9,68.79,302836,4
2017,9,88.66,211612,5
2017,10,100.99,251995,1
2017,10,92.23,713077,2
2017,10,99.06,1059997,3
2017,10,103.08,364706,4
2017,10,94.76,212739,5
2017,11,91.35,233069,1
2017,11,86.81,645340,2
2017,11,90.1,936634,3
2017,11,94.13,330710,4
2017,11,85.45,192301,5
2017,12,98.37,233475,1
2017,12,88.17,678106,2
2017,12,96.05,1043096,3
2017,12,99.96,347333,4
2017,12,92.29,205129,5
2017,13,108.25,270117,1
2017,13,96.67,753161,2
2017,13,102.86,1124931,3
2017,13,105.42,371232,4
2017,13,99.43,223119,5
2017,14,88.74,221145,1
2017,14,84.29,627377,2
2017,14,85.2,917001,3
2017,14,90.98,320163,4
2017,14,81.98,185376,5
2017,15,99.57,242655,1
2017,15,89,681901,2
2017,15,95.17,1035230,3
2017,15,100.27,355559,4
2017,15,92.92,206797,5
2017,16,45.39,125869,1
2017,16,54.47,448949,2
2017,16,73.58,754998,3
2017,16,81.03,269309,4
2017,16,65.95,149489,5
2017,17,76.83,190675,1
2017,17,78.63,586792,2
2017,17,85.93,920364,3
2017,17,88.55,307474,4
2017,17,80.49,184175,5
2017,18,95.4,236671,1
2017,18,89.24,682055,2
2017,18,97.39,1048998,3
2017,18,102.08,355566,4
2017,18,93.69,209981,5
2017,19,75.61,184399,1
2017,19,29.27,215118,2
2017,19,24.09,234849,3
2017,19,77.47,263408,4
2017,19,71.75,154630,5
2017,21,83.27,202592,1
2017,21,80.81,597468,2
2017,21,84.77,893972,3
2017,21,87.37,284443,4
2017,21,79.25,176231,5
2017,22,99.15,244301,1
2017,22,93.92,724825,2
2017,22,98.33,1048147,3
2017,22,96.86,345432,4
2017,22,89.36,204124,5
2017,23,80.36,196933,1
2017,23,72.71,536206,2
2017,23,82.34,939444,3
2017,23,91.85,318758,4
2017,23,81.61,179475,5
2018,1,97.88,291183,1
2018,1,89.19,797644,2
2018,1,99.14,1148467,3
2018,1,99.35,368782,4
2018,1,98.66,239936,5
2018,3,73.44,187543,1
2018,3,65.46,513691,2
2018,3,69.95,681549,3
2018,3,83.43,258149,4
2018,3,70.42,151540,5
2018,4,58.09,174595,1
2018,4,60.43,504660,2
2018,4,75.86,776757,3
2018,4,89.08,309027,4
2018,4,73,160147,5
2018,5,47.38,144510,1
2018,5,52.69,406239,2
2018,5,51.95,491033,3
2018,5,64.43,183530,4
2018,5,53.24,113575,5
2018,6,79.22,212069,1
2018,6,28.85,258766,2
2018,6,83.99,747302,3
2018,6,86.31,257538,4
2018,6,90.21,194921,5
2018,7,83.36,226398,1
2018,7,88,637204,2
2018,7,93.76,959514,3
2018,7,97,338803,4
2018,7,91.46,198228,5
2018,8,88.01,218643,1
2018,8,99.24,711649,2
2018,8,100.36,1040266,3
2018,8,100.41,350930,4
2018,8,97.04,205413,5
2018,9,86.41,268347,1
2018,9,80.29,735773,2
2018,9,81.25,1001505,3
2018,9,76.7,287916,4
2018,9,96.14,229115,5
2018,10,87.34,227250,1
2018,10,100.79,718884,2
2018,10,100.54,1022191,3
